fold,image_a,image_b,label,similarity
1,data\calibration\lfw\lfw\Abel_Pacheco\Abel_Pacheco_0001.jpg,data\calibration\lfw\lfw\Abel_Pacheco\Abel_Pacheco_0004.jpg,1,0.71973658
1,data\calibration\lfw\lfw\Akhmed_Zakayev\Akhmed_Zakayev_0001.jpg,data\calibration\lfw\lfw\Akhmed_Zakayev\Akhmed_Zakayev_0003.jpg,1,0.83299512
1,data\calibration\lfw\lfw\Akhmed_Zakayev\Akhmed_Zakayev_0002.jpg,data\calibration\lfw\lfw\Akhmed_Zakayev\Akhmed_Zakayev_0003.jpg,1,0.80269670
1,data\calibration\lfw\lfw\Amber_Tamblyn\Amber_Tamblyn_0001.jpg,data\calibration\lfw\lfw\Amber_Tamblyn\Amber_Tamblyn_0002.jpg,1,0.65730727
1,data\calibration\lfw\lfw\Anders_Fogh_Rasmussen\Anders_Fogh_Rasmussen_0001.jpg,data\calibration\lfw\lfw\Anders_Fogh_Rasmussen\Anders_Fogh_Rasmussen_0003.jpg,1,0.75936019
1,data\calibration\lfw\lfw\Anders_Fogh_Rasmussen\Anders_Fogh_Rasmussen_0001.jpg,data\calibration\lfw\lfw\Anders_Fogh_Rasmussen\Anders_Fogh_Rasmussen_0004.jpg,1,0.65712994
1,data\calibration\lfw\lfw\Angela_Bassett\Angela_Bassett_0001.jpg,data\calibration\lfw\lfw\Angela_Bassett\Angela_Bassett_0005.jpg,1,0.74354136
1,data\calibration\lfw\lfw\Angela_Bassett\Angela_Bassett_0002.jpg,data\calibration\lfw\lfw\Angela_Bassett\Angela_Bassett_0005.jpg,1,0.56224030
1,data\calibration\lfw\lfw\Angela_Bassett\Angela_Bassett_0003.jpg,data\calibration\lfw\lfw\Angela_Bassett\Angela_Bassett_0004.jpg,1,-0.00538607
1,data\calibration\lfw\lfw\Ann_Veneman\Ann_Veneman_0003.jpg,data\calibration\lfw\lfw\Ann_Veneman\Ann_Veneman_0005.jpg,1,0.80704433
1,data\calibration\lfw\lfw\Ann_Veneman\Ann_Veneman_0006.jpg,data\calibration\lfw\lfw\Ann_Veneman\Ann_Veneman_0010.jpg,1,0.71288115
1,data\calibration\lfw\lfw\Ann_Veneman\Ann_Veneman_0010.jpg,data\calibration\lfw\lfw\Ann_Veneman\Ann_Veneman_0011.jpg,1,0.54931211
