threshold,far,frr,tar
-0.17902459,1.00000000,0.00000000,1.00000000
-0.16300529,0.99966611,0.00000000,1.00000000
-0.15822607,0.99933222,0.00000000,1.00000000
-0.15758355,0.99899833,0.00000000,1.00000000
-0.15718098,0.99866444,0.00000000,1.00000000
-0.15680264,0.99833055,0.00000000,1.00000000
-0.15584843,0.99799666,0.00000000,1.00000000
-0.15518177,0.99766277,0.00000000,1.00000000
-0.15370761,0.99732888,0.00000000,1.00000000
-0.14642897,0.99699499,0.00000000,1.00000000
-0.14445861,0.99666110,0.00000000,1.00000000
-0.14395642,0.99632721,0.00000000,1.00000000
-0.14336340,0.99599332,0.00000000,1.00000000
-0.14299920,0.99565943,0.00000000,1.00000000
-0.14053389,0.99532554,0.00000000,1.00000000
-0.14009884,0.99499165,0.00000000,1.00000000
-0.13912877,0.99465776,0.00000000,1.00000000
-0.13799024,0.99432387,0.00000000,1.00000000
-0.13796785,0.99398998,0.00000000,1.00000000
-0.13699938,0.99365609,0.00000000,1.00000000
-0.13656843,0.99332220,0.00000000,1.00000000
-0.13623065,0.99298831,0.00000000,1.00000000
-0.13602826,0.99265442,0.00000000,1.00000000
-0.13600877,0.99232053,0.00000000,1.00000000
-0.13442819,0.99232053,0.00033478,0.99966522
-0.13418971,0.99198664,0.00033478,0.99966522
-0.13282716,0.99165275,0.00033478,0.99966522
-0.13234398,0.99131886,0.00033478,0.99966522
-0.13215533,0.99098497,0.00033478,0.99966522
-0.13192768,0.99065109,0.00033478,0.99966522
-0.13073726,0.99031720,0.00033478,0.99966522
-0.13063797,0.98998331,0.00033478,0.99966522
-0.13048498,0.98964942,0.00033478,0.99966522
-0.13020863,0.98931553,0.00033478,0.99966522
-0.12936872,0.98898164,0.00033478,0.99966522
-0.12794848,0.98864775,0.00033478,0.99966522
-0.12726104,0.98831386,0.00033478,0.99966522
-0.12690495,0.98797997,0.00033478,0.99966522
-0.12561683,0.98797997,0.00066957,0.99933043
-0.12525269,0.98764608,0.00066957,0.99933043
-0.12442259,0.98731219,0.00066957,0.99933043
-0.12433469,0.98697830,0.00066957,0.99933043
-0.12375373,0.98664441,0.00066957,0.99933043
-0.12280858,0.98631052,0.00066957,0.99933043
-0.12176023,0.98597663,0.00066957,0.99933043
-0.12156272,0.98597663,0.00100435,0.99899565
-0.12111054,0.98564274,0.00100435,0.99899565
-0.12078275,0.98530885,0.00100435,0.99899565
-0.11969751,0.98497496,0.00100435,0.99899565
-0.11921564,0.98464107,0.00100435,0.99899565
-0.11892726,0.98430718,0.00100435,0.99899565
-0.11830855,0.98397329,0.00100435,0.99899565
-0.11817119,0.98363940,0.00100435,0.99899565
-0.11787573,0.98330551,0.00100435,0.99899565
-0.11740740,0.98297162,0.00100435,0.99899565
-0.11722253,0.98263773,0.00100435,0.99899565
-0.11687472,0.98230384,0.00100435,0.99899565
-0.11678150,0.98196995,0.00100435,0.99899565
-0.11675032,0.98163606,0.00100435,0.99899565
-0.11600782,0.98130217,0.00100435,0.99899565
-0.11587901,0.98096828,0.00100435,0.99899565
-0.11460789,0.98063439,0.00100435,0.99899565
-0.11419487,0.98030050,0.00100435,0.99899565
-0.11348831,0.97996661,0.00100435,0.99899565
-0.11321655,0.97963272,0.00100435,0.99899565
-0.11299970,0.97929883,0.00100435,0.99899565
-0.11253189,0.97896494,0.00100435,0.99899565
-0.11212905,0.97863105,0.00100435,0.99899565
-0.11157107,0.97829716,0.00100435,0.99899565
-0.11106235,0.97796327,0.00100435,0.99899565
-0.11100795,0.97762938,0.00100435,0.99899565
-0.11081117,0.97729549,0.00100435,0.99899565
